SO 0000007,915,49410,INLOT-00001371
SO 0000008,1.64,738,INLOT-00001521
SO 0000008,0.5,160,INLOT-00001522
SO 0000008,16.58,5305.6,INLOT-00001523
SO 0000008,1.56,499.2,INLOT-00001524
SO 0000008,13.14,4204.8,INLOT-00001525
SO 0000009,3.18,318,INLOT-00021893
SO 0000010,2.28,202.92,INLOT-00022853
SO 0000010,2.28,136.8,INLOT-00022854
SO 0000011,1275.62,63781,INLOT-00025335
SO 0000013,915,137250,INLOT-00001611
SO 0000014,9.16,687,INLOT-00001612
SO 0000015,290.83,17449.8,INLOT-00001613
SO 0000016,1275.62,63781,INLOT-00025336
SO 0000017,39725.08,39725.08,INLOT-00001615
SO 0000018,7537.45,7537.45,INLOT-00001616
SO 0000019,10324.88,10324.88,INLOT-00001617
SO 0000020,916,36640,INLOT-00001618
SO 0000021,75012.68,75012.68,INLOT-00001619
SO 0000022,31233.8,31233.8,INLOT-00001620
SO 0000024,127.06,127.06,INLOT-00022920
SO 0000025,3.438,3438,INLOT-00022851
SO 0000026,1275.62,159452.5,INLOT-00025337
SO 0000028,17500,17500,INLOT-00001985
SO 0000029,17500,17500,INLOT-00001987
SO 0000030,17500,17500,INLOT-00001988
SO 0000031,17500,17500,INLOT-00001989
SO 0000031,17500,17500,INLOT-00001990
SO 0000031,4950,4950,INLOT-00001992
SO 0000032,17500,17500,INLOT-00001993
SO 0000034,17500,17500,INLOT-00001995
SO 0000036,17500,17500,INLOT-00001997
SO 0000038,4950,4950,INLOT-00001999
SO 0000039,17500,17500,INLOT-00002000
SO 0000040,17500,17500,INLOT-00002001
SO 0000041,17500,17500,INLOT-00002002
SO 0000042,17500,17500,INLOT-00002003
SO 0000043,9975,9975,INLOT-00002004
SO 0000045,17500,17500,INLOT-00002006
SO 0000046,17500,17500,INLOT-00002007
SO 0000047,17500,17500,INLOT-00002008
SO 0000048,8500,8500,INLOT-00029475
SO 0000049,17500,17500,INLOT-00002010
SO 0000050,17500,17500,INLOT-00002011
SO 0000052,17500,17500,INLOT-00002013
SO 0000053,17500,17500,INLOT-00002014
SO 0000055,17500,17500,INLOT-00002016
SO 0000056,17500,17500,INLOT-00002017
SO 0000057,17500,17500,INLOT-00002018
SO 0000058,17500,17500,INLOT-00002019
SO 0000059,17500,17500,INLOT-00002020
SO 0000060,17500,17500,INLOT-00002021
SO 0000061,17500,17500,INLOT-00002022
SO 0000064,17500,17500,INLOT-00002027
SO 0000065,9975,9975,INLOT-00002028
SO 0000066,17500,17500,INLOT-00002029
SO 0000067,17500,17500,INLOT-00002030
SO 0000068,17500,17500,INLOT-00002031
SO 0000069,17500,17500,INLOT-00002032
SO 0000070,17500,17500,INLOT-00002033
SO 0000071,17500,17500,INLOT-00002034
SO 0000071,4950,4950,INLOT-00002036
SO 0000072,9975,9975,INLOT-00002035
SO 0000073,17500,17500,INLOT-00002037
SO 0000073,500,500,INLOT-00116232
SO 0000073,900,1800,INLOT-00116233
SO 0000073,200,200,INLOT-00116234
SO 0000073,1250,1250,INLOT-00134495
SO 0000073,2950,2950,INLOT-00116236
SO 0000073,1700,1700,INLOT-00116237
SO 0000073,35,105,INLOT-00116238
SO 0000073,6500,6500,INLOT-00116239
SO 0000073,1450,1450,INLOT-00116240
SO 0000073,450,450,INLOT-00116351
SO 0000073,199,199,INLOT-00116352
SO 0000073,50,200,INLOT-00137122
SO 0000073,900,900,INLOT-00138183
SO 0000073,550,0,INLOT-00145268
SO 0000073,100,100,INLOT-00137124
SO 0000073,250,250,INLOT-00138184
SO 0000073,600,0,INLOT-00138186
SO 0000073,600,600,INLOT-00138185
SO 0000074,17500,17500,INLOT-00002038
SO 0000075,17500,17500,INLOT-00002039
SO 0000076,9975,9975,INLOT-00002040
SO 0000077,17500,17500,INLOT-00002041
SO 0000078,17500,17500,INLOT-00002042
SO 0000079,17500,17500,INLOT-00002043
SO 0000080,17500,17500,INLOT-00002044
SO 0000082,4950,4950,INLOT-00002046
SO 0000082,6500,6500,INLOT-00058138
SO 0000082,1450,1450,INLOT-00054079
SO 0000082,1700,1700,INLOT-00054080
SO 0000082,500,500,INLOT-00054081
SO 0000082,199,199,INLOT-00054084
SO 0000082,1250,1250,INLOT-00099652
SO 0000083,17500,17500,INLOT-00002047
SO 0000084,6500,6500,INLOT-00080321
SO 0000084,2950,2950,INLOT-00080322
SO 0000084,1700,1700,INLOT-00080323
SO 0000084,1450,1450,INLOT-00080324
SO 0000084,900,900,INLOT-00080325
SO 0000084,199,597,INLOT-00080326
SO 0000084,500,500,INLOT-00080327
SO 0000084,200,0,INLOT-00090383
SO 0000084,300,300,INLOT-00080328
SO 0000084,250,500,INLOT-00080329
SO 0000084,1250,1250,INLOT-00095863
SO 0000084,150,150,INLOT-00080330
SO 0000084,250,250,INLOT-00080331
SO 0000084,175,175,INLOT-00080332
SO 0000084,200,400,INLOT-00080333
SO 0000084,9,45,INLOT-00080334
SO 0000084,125,250,INLOT-00080335
SO 0000084,45,45,INLOT-00080336
SO 0000084,40,80,INLOT-00080337
SO 0000084,20,40,INLOT-00080338
SO 0000085,17500,17500,INLOT-00002049
SO 0000086,17500,17500,INLOT-00002050
SO 0000087,17500,17500,INLOT-00002053
SO 0000087,17500,17500,INLOT-00002054
SO 0000087,17500,17500,INLOT-00002055
SO 0000087,17500,17500,INLOT-00002056
SO 0000087,17500,17500,INLOT-00002057
SO 0000088,17500,17500,INLOT-00002058
SO 0000089,17500,17500,INLOT-00002059
SO 0000090,17500,17500,INLOT-00002060
SO 0000091,17500,17500,INLOT-00002061
SO 0000092,17500,17500,INLOT-00002062
SO 0000094,17500,17500,INLOT-00002066
SO 0000095,17500,17500,INLOT-00002067
SO 0000095,17500,17500,INLOT-00002068
SO 0000096,17500,17500,INLOT-00002069
SO 0000096,17500,17500,INLOT-00002070
SO 0000096,17500,17500,INLOT-00002071
SO 0000097,17500,17500,INLOT-00002072
SO 0000097,9975,9975,INLOT-00002073
SO 0000097,4950,4950,INLOT-00002074
SO 0000098,17500,17500,INLOT-00002075
SO 0000099,17500,17500,INLOT-00002076
SO 0000100,17500,17500,INLOT-00002077
SO 0000102,17500,17500,INLOT-00002079
SO 0000103,9975,9975,INLOT-00002080
SO 0000105,17500,17500,INLOT-00002082
SO 0000105,2950,2950,INLOT-00077730
SO 0000105,1250,1250,INLOT-00108784
SO 0000105,1700,1700,INLOT-00077731
SO 0000105,199,796,INLOT-00077732
SO 0000105,500,500,INLOT-00077733
SO 0000105,500,500,INLOT-00077734
SO 0000105,300,300,INLOT-00077735
SO 0000105,250,500,INLOT-00077736
SO 0000105,150,300,INLOT-00077737
SO 0000105,250,250,INLOT-00077738
SO 0000105,200,400,INLOT-00077739
SO 0000105,150,300,INLOT-00077740
SO 0000105,120,240,INLOT-00077741
SO 0000105,9,18,INLOT-00077742
SO 0000105,12,12,INLOT-00077743
SO 0000105,125,375,INLOT-00077744
SO 0000105,45,45,INLOT-00077745
SO 0000105,20,40,INLOT-00077746
SO 0000105,40,80,INLOT-00077747
SO 0000105,55,110,INLOT-00077748
SO 0000105,70,140,INLOT-00077749
SO 0000105,200,200,INLOT-00108785
SO 0000105,900,900,INLOT-00108786
SO 0000105,600,0,INLOT-00129682
SO 0000106,17500,17500,INLOT-00002083
SO 0000107,17500,17500,INLOT-00002084
SO 0000107,500,500,INLOT-00151846
SO 0000108,17500,17500,INLOT-00002086
SO 0000109,17500,17500,INLOT-00002087
SO 0000109,2950,2950,INLOT-00176241
SO 0000109,500,500,INLOT-00176931
SO 0000109,175,350,INLOT-00176932
SO 0000109,125,250,INLOT-00176933
SO 0000110,9975,9975,INLOT-00002088
SO 0000113,17500,17500,INLOT-00002091
SO 0000114,17500,17500,INLOT-00002092
SO 0000116,17500,17500,INLOT-00002095
SO 0000116,17500,17500,INLOT-00002096
SO 0000116,4950,4950,INLOT-00002098
SO 0000116,6500,6500,INLOT-00081515
SO 0000116,1250,1250,INLOT-00093270
SO 0000116,1700,3400,INLOT-00081517
SO 0000116,1450,2900,INLOT-00081518
SO 0000116,900,1800,INLOT-00081519
SO 0000116,500,1000,INLOT-00081520
SO 0000116,250,250,INLOT-00081611
SO 0000116,150,150,INLOT-00081612
SO 0000116,250,500,INLOT-00081613
SO 0000116,600,600,INLOT-00081614
SO 0000116,900,900,INLOT-00081615
SO 0000116,9,45,INLOT-00081616
SO 0000116,125,250,INLOT-00081617
SO 0000116,45,90,INLOT-00081618
SO 0000116,199,995,INLOT-00081619
SO 0000116,600,1200,INLOT-00093269
SO 0000117,17500,17500,INLOT-00002099
SO 0000117,4950,4950,INLOT-00002100
SO 0000118,17500,17500,INLOT-00002101
SO 0000119,9975,9975,INLOT-00002102
SO 0000120,17500,17500,INLOT-00002103
SO 0000121,17500,17500,INLOT-00002104
SO 0000122,9975,9975,INLOT-00002105
SO 0000122,4950,4950,INLOT-00002106
SO 0000123,17500,17500,INLOT-00002107
SO 0000124,6500,6500,INLOT-00047541
SO 0000124,9975,9975,INLOT-00129341
SO 0000125,4950,4950,INLOT-00002109
SO 0000126,17500,17500,INLOT-00002110
SO 0000126,500,500,INLOT-00176792
SO 0000126,1250,1250,INLOT-00176793
SO 0000126,2500,2500,INLOT-00176794
SO 0000126,2950,2950,INLOT-00176795
SO 0000126,1450,1450,INLOT-00176797
SO 0000126,450,900,INLOT-00176798
SO 0000126,175,175,INLOT-00176799
SO 0000126,250,250,INLOT-00176800
SO 0000126,100,100,INLOT-00177001
SO 0000126,45,45,INLOT-00177002
SO 0000126,9,9,INLOT-00177003
SO 0000127,17500,17500,INLOT-00002111
SO 0000129,17500,17500,INLOT-00002113
SO 0000130,17500,17500,INLOT-00002114
