SO 0000042,CU 0100017,3/26/09,101001
SO 0000043,CU 0100017,3/26/09,202001
SO 0000055,CU 0100025,3/26/09,101001
SO 0000056,CU 0100025,3/26/09,101001
SO 0000057,CU 0100025,3/26/09,101001
SO 0000058,CU 0100025,3/26/09,101001
SO 0000059,CU 0100025,3/26/09,101001
SO 0000064,CU 0100027,3/26/09,101001
SO 0000065,CU 0100027,3/26/09,202001
SO 0000071,CU 0100031,3/26/09,101001
SO 0000071,CU 0100031,3/26/09,201001
SO 0000072,CU 0100031,3/26/09,202001
SO 0000074,CU 0100033,3/26/09,101001
SO 0000076,CU 0100034,3/26/09,202006
SO 0000078,CU 0100036,3/26/09,101001
SO 0000084,CU 0100039,3/26/09,601017
SO 0000091,CU 0100045,3/26/09,101001
SO 0000095,CU 0100049,3/26/09,101001
SO 0000096,CU 0100050,3/26/09,101001
SO 0000096,CU 0100050,3/26/09,101001
SO 0000096,CU 0100050,3/26/09,101001
SO 0000103,CU 0100055,3/26/09,202001
SO 0000109,CU 0100861,3/26/09,601017
SO 0000109,CU 0100861,3/26/09,502006
SO 0000109,CU 0100861,3/26/09,502008
SO 0000110,CU 0100861,3/26/09,202001
SO 0000121,CU 0100068,3/26/09,101001
SO 0000122,CU 0100068,3/26/09,202001
SO 0000122,CU 0100068,3/26/09,201001
SO 0000131,CU 0100074,3/26/09,101001
SO 0000132,CU 0100074,3/26/09,202001
SO 0000133,CU 0100075,3/26/09,101001
SO 0000133,CU 0100075,3/26/09,202001
SO 0000139,CU 0100076,3/26/09,202005
SO 0000150,CU 0100084,3/26/09,301001
SO 0000166,CU 0100092,3/26/09,101001
SO 0000166,CU 0100092,3/26/09,201001
SO 0000173,CU 0100098,3/26/09,101001
SO 0000173,CU 0100098,3/26/09,403001
SO 0000173,CU 0100098,3/26/09,502001
SO 0000173,CU 0100098,3/26/09,501001
SO 0000173,CU 0100098,3/26/09,301001
SO 0000173,CU 0100098,3/26/09,302001
SO 0000173,CU 0100098,3/26/09,603001
SO 0000173,CU 0100098,3/26/09,602012
SO 0000173,CU 0100098,3/26/09,601002
SO 0000173,CU 0100098,3/26/09,602010
SO 0000173,CU 0100098,3/26/09,602008
SO 0000173,CU 0100098,3/26/09,509002
SO 0000173,CU 0100098,3/26/09,601004
SO 0000173,CU 0100098,3/26/09,804011
SO 0000174,CU 0100099,3/26/09,101001
SO 0000174,CU 0100099,3/26/09,201001
SO 0000175,CU 0100099,3/26/09,202001
SO 0000177,CU 0100101,3/26/09,202003
SO 0000178,CU 0100102,3/26/09,101001
SO 0000181,CU 0100105,3/26/09,101001
SO 0000183,CU 0100107,3/26/09,101001
SO 0000183,CU 0100107,3/26/09,403001
SO 0000183,CU 0100107,3/26/09,603001
SO 0000183,CU 0100107,3/26/09,502005
SO 0000183,CU 0100107,3/26/09,502006
SO 0000183,CU 0100107,3/26/09,502008
SO 0000183,CU 0100107,3/26/09,601012
SO 0000183,CU 0100107,3/26/09,601004
SO 0000183,CU 0100107,3/26/09,804010
SO 0000183,CU 0100107,3/26/09,101137
SO 0000183,CU 0100107,3/26/09,401001S
SO 0000187,CU 0100111,4/10/09,302002
SO 0000187,CU 0100111,4/10/09,401001
SO 0000187,CU 0100111,4/10/09,804026
SO 0000187,CU 0100111,4/10/09,202003
SO 0000196,CU 0100119,3/26/09,101208
SO 0000196,CU 0100119,3/26/09,301001
SO 0000199,CU 0100122,3/26/09,101001
SO 0000200,CU 0100123,3/26/09,101001
SO 0000200,CU 0100123,3/26/09,202001
SO 0000201,CU 0100122,3/26/09,201001
SO 0000202,CU 0100124,3/26/09,302001
SO 0000202,CU 0100124,3/26/09,302001
SO 0000202,CU 0100124,3/26/09,202001
SO 0000202,CU 0100124,3/26/09,409106
SO 0000202,CU 0100124,3/26/09,302002
SO 0000211,CU 0100130,3/26/09,202002
SO 0000213,CU 0100132,3/26/09,202001
SO 0000214,CU 0100132,3/26/09,201001
SO 0000220,CU 0100137,3/26/09,101001
SO 0000220,CU 0100137,3/26/09,201001
SO 0000221,CU 0100138,3/26/09,401001
SO 0000221,CU 0100138,3/26/09,401001S
SO 0000232,CU 0100147,3/26/09,201001
SO 0000238,CU 0100151,3/26/09,202001
SO 0000241,CU 0100153,3/26/09,202001
SO 0000244,CU 0100155,3/26/09,101001
SO 0000248,CU 0100157,3/26/09,101001
SO 0000248,CU 0100157,3/26/09,202001
SO 0000250,CU 0100159,3/26/09,202001
SO 0000255,CU 0100163,3/26/09,101001
SO 0000258,CU 0100165,3/26/09,101001
SO 0000260,CU 0100167,3/26/09,101001
SO 0000267,CU 0100172,3/26/09,202001
SO 0000267,CU 0100172,3/26/09,201001
SO 0000269,CU 0100173,3/26/09,202001
SO 0000271,CU 0100175,3/26/09,101001
SO 0000273,CU 0100177,3/26/09,201001
SO 0000273,CU 0100177,3/26/09,201001
SO 0000286,CU 0100186,3/26/09,101001
SO 0000291,CU 0100189,3/26/09,101001
SO 0000291,CU 0100189,3/26/09,202001
SO 0000291,CU 0100189,3/26/09,201001
SO 0000294,CU 0100192,3/26/09,101001
SO 0000309,CU 0100201,3/26/09,202001
SO 0000317,CU 0100206,3/26/09,202001
SO 0000317,CU 0100206,3/26/09,202001
SO 0000320,CU 0100209,3/26/09,202001
SO 0000320,CU 0100209,3/26/09,201001
SO 0000323,CU 0100212,3/26/09,101001
SO 0000323,CU 0100212,3/26/09,202001
SO 0000323,CU 0100212,3/26/09,201001
SO 0000324,CU 0100213,3/26/09,202001
SO 0000333,CU 0100221,3/26/09,101001
SO 0000333,CU 0100221,3/26/09,502001
SO 0000334,CU 0100221,3/26/09,101001
SO 0000334,CU 0100221,3/26/09,502001
SO 0000353,CU 0100233,3/26/09,502006
SO 0000357,CU 0100236,3/26/09,302002
SO 0000359,CU 0100237,3/26/09,101001
SO 0000360,CU 0100237,3/26/09,202001
SO 0000360,CU 0100237,3/26/09,201001
SO 0000361,CU 0100238,3/26/09,101001
SO 0000376,CU 0100251,3/26/09,202003
SO 0000409,CU 0100270,3/26/09,101001
SO 0000409,CU 0100270,3/26/09,101001
SO 0000412,CU 0100273,3/26/09,202001
SO 0000412,CU 0100273,3/26/09,602008
SO 0000412,CU 0100273,3/26/09,601014
SO 0000412,CU 0100273,3/26/09,601002
SO 0000414,CU 0100274,3/26/09,202001
SO 0000424,CU 0100282,3/26/09,101001
SO 0000424,CU 0100282,3/26/09,202001
SO 0000424,CU 0100282,3/26/09,201001
SO 0000434,CU 0100289,3/26/09,202001
SO 0000439,CU 0100293,3/26/09,101001
SO 0000440,CU 0100294,3/26/09,202001
SO 0000442,CU 0100295,3/26/09,202001
SO 0000442,CU 0100295,3/26/09,201001
SO 0000446,CU 0100299,3/26/09,101001
SO 0000454,CU 0100306,3/26/09,101001
SO 0000457,CU 0100309,3/26/09,101001
SO 0000457,CU 0100309,3/26/09,101001
SO 0000457,CU 0100309,3/26/09,202001
SO 0000457,CU 0100309,3/26/09,202001
SO 0000457,CU 0100309,3/26/09,201001
SO 0000469,CU 0100317,3/26/09,101001
SO 0000473,CU 0100321,3/26/09,101001
SO 0000474,CU 0100321,3/26/09,202001
SO 0000476,CU 0100323,4/9/09,202001
SO 0000490,CU 0100333,3/26/09,101001
SO 0000491,CU 0100334,3/26/09,309001
SO 0000491,CU 0100334,3/26/09,101208
SO 0000495,CU 0100338,3/26/09,101001
SO 0000495,CU 0100338,3/26/09,101001
SO 0000497,CU 0100340,3/26/09,101001
SO 0000504,CU 0100346,3/26/09,502006
SO 0000504,CU 0100346,3/26/09,202005
SO 0000515,CU 0101388,3/26/09,309003
SO 0000521,CU 0100359,3/26/09,202005
SO 0000530,CU 0100365,3/26/09,901003
SO 0000530,CU 0100365,3/26/09,901001
SO 0000531,CU 0100366,3/26/09,101001
SO 0000531,CU 0100366,3/26/09,202001
SO 0000537,CU 0100370,3/26/09,101001
SO 0000538,CU 0100370,3/26/09,202001
SO 0000538,CU 0100370,3/26/09,201001
SO 0000543,CU 0100374,3/26/09,101001
SO 0000550,CU 0100379,3/26/09,101001
SO 0000565,CU 0100390,3/26/09,203001
SO 0000570,CU 0100394,3/26/09,101001
SO 0000573,CU 0100396,3/26/09,101001
SO 0000582,CU 0100401,3/26/09,101001
SO 0000584,CU 0100401,3/26/09,101001
SO 0000585,CU 0100401,3/26/09,101001
SO 0000588,CU 0100404,3/26/09,101001
SO 0000625,CU 0100430,3/26/09,101001
SO 0000645,CU 0100445,3/26/09,202001
SO 0000648,CU 0100446,3/26/09,101001
SO 0000648,CU 0100446,3/26/09,202001
SO 0000658,CU 0100453,3/26/09,202001
SO 0000658,CU 0100453,3/26/09,201001
SO 0000659,CU 0100454,3/26/09,101001
SO 0000659,CU 0100454,3/26/09,101001
SO 0000659,CU 0100454,3/26/09,101001
SO 0000659,CU 0100454,3/26/09,101001
SO 0000663,CU 0100458,3/26/09,202001
SO 0000663,CU 0100458,3/26/09,201001
SO 0000671,CU 0100465,3/26/09,101001
SO 0000676,CU 0100469,3/26/09,101001
SO 0000677,CU 0100469,3/26/09,202001
SO 0000681,CU 0100472,3/26/09,302002
SO 0000683,CU 0100473,3/26/09,202001
SO 0000684,CU 0100474,3/26/09,601013
SO 0000689,CU 0100478,3/26/09,202006
SO 0000696,CU 0100484,3/26/09,101001
SO 0000696,CU 0100484,3/26/09,202001
SO 0000696,CU 0100484,3/26/09,201001
SO 0000702,CU 0100488,3/26/09,101001
SO 0000711,CU 0100493,3/26/09,101001
SO 0000711,CU 0100493,3/26/09,202001
SO 0000711,CU 0100493,3/26/09,201001
SO 0000716,CU 0100498,3/26/09,101001
SO 0000716,CU 0100498,3/26/09,202001
SO 0000724,CU 0100505,3/26/09,101001
SO 0000724,CU 0100505,3/26/09,804004
SO 0000724,CU 0100505,3/26/09,502001
SO 0000724,CU 0100505,3/26/09,403001
SO 0000724,CU 0100505,3/26/09,301001
SO 0000726,CU 0100507,3/26/09,101001
SO 0000726,CU 0100507,3/26/09,502001
SO 0000726,CU 0100507,3/26/09,603001
SO 0000726,CU 0100507,3/26/09,403001
SO 0000726,CU 0100507,3/26/09,202002
SO 0000726,CU 0100507,3/26/09,502005
SO 0000726,CU 0100507,3/26/09,302001
SO 0000726,CU 0100507,3/26/09,301001
SO 0000727,CU 0100508,3/26/09,101001
SO 0000728,CU 0100508,3/26/09,201001
SO 0000729,CU 0100509,3/26/09,101001
SO 0000731,CU 0100510,3/26/09,202001
SO 0000741,CU 0100515,3/26/09,202001
SO 0000744,CU 0100518,3/26/09,101001
SO 0000745,CU 0100518,3/26/09,101001
SO 0000745,CU 0100518,3/26/09,202001
SO 0000745,CU 0100518,3/26/09,202001
SO 0000745,CU 0100518,3/26/09,201001
SO 0000747,CU 0100520,3/26/09,202001
