"CU 0101605","SO 0003107","Account record not exists"
"CU 0102604","SO 0004223","Account record not exists"
"CU 0102253","SO-0004268","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004273","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004274","Email address not exists, name: Beth DePatie"
"CU 0102604","SO 0004223","Account record not exists"
"CU 0102253","SO-0004268","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004273","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004274","Email address not exists, name: Beth DePatie"
"CU 0102604","SO 0004223","Account record not exists"
"CU 0102253","SO-0004268","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004273","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004274","Email address not exists, name: Beth DePatie"
"CU 0102604","SO 0004223","Account record not exists"
"CU 0102253","SO-0004268","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004273","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004274","Email address not exists, name: Beth DePatie"
"CU 0102604","SO 0004223","Account record not exists"
"CU 0102253","SO-0004268","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004273","Email address not exists, name: Beth DePatie"
"CU 0102253","SO-0004274","Email address not exists, name: Beth DePatie"
