Order,Account,Created Date,Item
SO-0017036,CU 0104745,3/1/09,
,,,903002
SO-0017038,CU 0102279,3/1/09,
,,,501001
,,,602020
SO-0017039,CU 0104636,3/1/09,
,,,509002
SO-0017040,CU 0104746,3/1/09,
,,,101001
,,,603001
,,,601002
,,,804015
,,,602016
,,,602010
,,,804003
,,,202005
,,,804005
,,,402002
,,,409110
,,,301001
,,,309001
,,,804010
,,,502005
,,,502001
,,,602018
,,,201101
,,,101208
,,,601014
,,,601005
,,,403001
,,,401001Y
,,,402001
,,,502006SM
,,,903001
,,,601007
,,,602009
,,,602020
,,,804014
,,,302002
,,,604002
,,,602012
,,,601003R
,,,601006
,,,601003L
,,,602008
,,,602021
,,,101137
,,,602019
,,,804011
,,,601016
,,,901008
,,,902003
,,,902007
,,,902020
,,,901004
SO-0017041,CU 0104747,3/1/09,
,,,101001
,,,804011
,,,602017
,,,402002
,,,309001
,,,309003
,,,101137
,,,109002
,,,101135
,,,604002
,,,601002
,,,602010
,,,603001
,,,502005
,,,502006SM
,,,501001
,,,509002
,,,404001
,,,409106
,,,509007
,,,502001
,,,301001
,,,602012
,,,601003L
,,,602020
,,,804014
,,,804026
,,,302001
,,,601006
,,,601012
,,,601004
,,,601005
SO-0017042,CU 0104107,3/2/09,
,,,601004
,,,501002
,,,509002
SO-0017043,CU 0101227,3/2/09,
,,,602022
SO-0017044,CU 0101506,3/2/09,
,,,202001
,,,301001
,,,901005
,,,901004
SO-0017045,CU 0101337,3/2/09,
,,,509007
,,,109008
,,,501001
,,,502006
,,,601004
,,,309001
,,,804026
,,,509002
SO-0017046,CU 0102811,3/2/09,
,,,602010
SO-0017048,CU 0102679,3/2/09,
,,,601017
,,,601018
SO-0017049,CU 0101505,3/2/09,
,,,401001Y
SO-0017050,CU 0103083,3/2/09,
,,,202006
,,,501001
,,,509002
,,,201101
SO-0017051,CU 0103694,3/2/09,
,,,401001Y
,,,402001
,,,601004
SO-0017052,CU 0103694,3/2/09,
,,,601004
SO-0017053,CU 0104175,3/2/09,
,,,404002
,,,401001Y
,,,502005
,,,101164
SO-0017054,CU 0104136,3/2/09,
,,,509007
,,,509002
SO-0017055,CU 0101039,3/2/09,
,,,502008
,,,101135
,,,109002
SO-0017056,CU 0104748,3/2/09,
,,,502006SM
SO-0017057,CU 0104150,3/2/09,
,,,502005
SO-0017058,CU 0103349,3/2/09,
,,,402002
SO-0017059,CU 0103828,3/2/09,
SO-0017060,CU 0104628,3/2/09,
,,,402001
,,,404002
,,,509007
,,,509002
,,,602010
,,,601018
SO-0017061,CU 0100198,3/2/09,
,,,604002
SO-0017062,CU 0104739,3/2/09,
,,,101001
,,,301001
,,,502001
,,,502005
,,,501001
,,,309001
,,,309003
,,,309007
,,,602010
,,,602008
,,,604002
,,,604001
,,,101137
,,,402002
,,,409106
,,,509002
,,,509007
,,,602012
,,,109001
,,,601017
,,,601018
,,,602016
SO-0017063,CU 0104525,3/2/09,
,,,101163
,,,602020
,,,109001
,,,602008
SO-0017064,CU 0104048,3/2/09,
,,,509002
SO-0017065,CU 0100930,3/2/09,
,,,202001
,,,501001
SO-0017066,CU 0104749,3/2/09,
,,,804004
SO-0017067,CU 0104750,3/2/09,
,,,903002
SO-0017068,CU 0104751,3/2/09,
,,,101001
,,,101001
,,,603001
,,,301001
,,,302001
,,,804015
,,,502001
,,,602012
,,,602010
,,,601004
,,,601006
,,,601002
,,,602008
,,,601003L
,,,602020
,,,101135
,,,109002
,,,109001
,,,502005
,,,501001
,,,509002
SO-0017069,CU 0104752,3/2/09,
,,,101001
,,,902001
,,,902006
,,,902017
,,,902018
,,,902009
,,,902013
,,,902021
,,,903001
,,,901004
,,,804010
,,,402002
,,,201101
,,,601002
,,,604002
,,,309004
,,,502001
,,,302002
,,,301001
,,,202004
,,,201007
,,,804005
,,,603001
,,,602020
,,,601007
,,,804015
,,,804009
,,,601016
,,,602018
,,,404002
,,,602016
,,,602012
,,,601003L
,,,601003R
,,,602008
,,,501002
,,,502006SM
,,,804014
SO-0017070,CU 0101042,3/2/09,
,,,601003L
SO-0017071,CU 0104395,3/3/09,
,,,509002
SO-0017072,CU 0103613,3/3/09,
,,,101001
SO-0017073,CU 0103468,3/3/09,
,,,502005
,,,502006SM
,,,101001
SO-0017074,CU 0104679,3/3/09,
,,,109001
,,,804026
,,,602010
,,,601008
,,,109002
SO-0017075,CU 0101235,3/3/09,
,,,601005
,,,601002
SO-0017076,CU 0100764,3/3/09,
,,,101165
,,,101164
,,,501001
,,,601008
SO-0017077,CU 0104753,3/3/09,
,,,903001
SO-0017078,CU 0102394,3/3/09,
,,,603001
SO-0017079,CU 0104754,3/3/09,
,,,602021
SO-0017080,CU 0101505,3/3/09,
,,,804013
SO-0017081,CU 0103436,3/3/09,
,,,502005
SO-0017082,CU 0103670,3/3/09,
SO-0017083,CU 0100707,3/3/09,
,,,602022
SO-0017084,CU 0100852,3/3/09,
,,,409110
,,,101135
,,,109002
,,,401001Y
SO-0017085,CU 0104674,3/3/09,
,,,804010
SO-0017086,CU 0102319,3/3/09,
,,,501001
,,,302001
SO-0017087,CU 0101649,3/3/09,
,,,401001Y
SO-0017090,CU 0103718,3/3/09,
SO-0017091,CU 0100203,3/3/09,
,,,403001
,,,502006SM
,,,501001
,,,804015
,,,602012
,,,602010
,,,804014
,,,601002
,,,804011
,,,409106
,,,509003
,,,509002
,,,109002
,,,804026
SO-0017092,CU 0101842,3/3/09,
SO-0017095,CU 0103670,3/3/09,
,,,403001
SO-0017097,CU 0102655,3/3/09,
,,,601014
,,,101208
,,,502006
,,,804015
,,,602010
,,,402002
,,,601002
SO-0017098,CU 0100971,3/3/09,
,,,SvcLabor
SO-0017099,CU 0100713,3/3/09,
,,,602016
,,,502006
SO-0017101,CU 0103395,3/3/09,
,,,101135
,,,109002
SO-0017102,CU 0104222,3/3/09,
,,,403001
SO-0017103,CU 0103415,3/3/09,
,,,501002
,,,404002
,,,804015
,,,601002
,,,509007
,,,309002
,,,509002
SO-0017104,CU 0104071,3/3/09,
,,,602016
,,,602012
,,,804011
,,,404002
,,,409110
,,,302001
,,,309007
,,,502008
,,,109002
,,,101135
,,,902018
,,,902007
,,,502006XL
SO-0017105,CU 0104677,3/3/09,
SO-0017106,CU 0104755,3/3/09,
,,,902005
SO-0017107,CU 0104756,3/3/09,
,,,903002
SO-0017108,CU 0103105,3/3/09,
,,,301001
SO-0017109,CU 0103398,3/4/09,
,,,101001
,,,101001
,,,101001
,,,603001
,,,302001
,,,301001
,,,502001
,,,501001
,,,502006XL
,,,804014
